"title","Advertising","Advertising Research","Affiliate Marketing","Analysis","Analytical Skills","Analytics","Apache Pig","Apache Spark","Asset Allocation","Asset Management","Behavioral Targeting","Big Data","Brio Explorer","Business Intelligence","Business Process Improvement","C++","Communication","Conceptualizer","Consumer Behavior","Consumer Behaviour","Consumer Insights","Customer Insight","Customer Service","Data Analysis","Data Collection","Data Mining","Data Science","Data Visualization","Databases","Derivatives","Digital Marketing","Digital Media","Digital Strategy","E-commerce","Econometrics","Email Marketing","Energy","Entrepreneurship","Epistemology","Financial Engineering","Financial Modeling","Financial Research","Hadoop","HRIS","HTML","Investments","Java","Leadership","Linear Regression","Linux","Machine Learning","Management","Market Research","Marketing","Marketing Research","Marketing Strategy","Methodological Thinking","Microsoft Excel","Microsoft SQL Server","Mobile Devices","Mobile Marketing","Modeling","Multivariate Statistics","Netezza","Online Advertising","Online Marketing","Optimization","Oracle","Organization Skills","Performance Improvement","PHP","PowerPoint","PPC","Predictive Analytics","Predictive Modeling","Process Improvement","Product Development","Productivity","Project Management","Python","Qualitative Research","Quantitative Research","R","Real-Time Bidding","Regression","Regression Models","Renewable Energy","Research","Research Design","Risk Management","RTB","SAS","Segmentation","SEM","SEO","Shiny","Small Business","Smart Grid","Social Media","Social Media Marketing","Sociology","Software Development","SPSS Modeler","SQL","Statistical Data Analysis","Statistical Modeling","Statistics","Strategic Planning","Strategy","Survey Design","Survey Research","Systems Engineering","Tableau","Team Player","Text Analytics","Troubleshooting","VBA","Vertica","Web Analytics","Web Development","Web Marketing"
"Senior Data Scientist at The Trade Desk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
"Director Data Science at Warner Bros. Entertainment",0,2,0,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,0,11,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,14,9,0,1,0,0,4,2,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,3,9,0,0,9,3,0,0,0,0,0,0,0,0,0,0
"Director of Data Science",0,0,0,0,0,31,0,1,1,2,0,0,2,12,4,0,0,0,0,0,0,0,0,4,0,6,5,0,0,1,0,0,0,0,1,0,6,0,1,0,3,1,1,1,0,1,0,7,1,0,3,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,2,0,0,0,14,1,4,0,2,0,1,0,0,11,0,0,0,5,0,0,7,0,7,0,0,0,0,0,3,0,0,0,0,1,7,0,0,34,8,5,0,0,1,1,0,0,0,0,0,0,0,0
"Senior Data Scientist",0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GM, Data Science at The Trade Desk",13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,22,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,0,0
"Information Services",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
