"","Headline","Skills","Linkedin"
"196","Data Science Manager at Uber","Data Analysis",15
"197","Data Science Manager at Uber","Research",11
"198","Data Science Manager at Uber","C/C++",3
"199","Data Science Manager at Uber","Python",3
"200","Data Science Manager at Uber","Matlab",3
"201","Data Science Manager at Uber","SQL",2
"202","Data Science Manager at Uber","C++",2
"203","Data Science Manager at Uber","Teaching",5
"204","Data Scientist at Condé Nast","Molecular Biology",6
"205","Data Scientist at Condé Nast","Fluorescence Microscopy",3
"206","Data Scientist at Condé Nast","Statistics",4
"207","Data Scientist at Condé Nast","Microscopy",2
"208","Data Scientist at Condé Nast","Cell Biology",3
"209","Data Scientist at Condé Nast","Data Analysis",3
"210","Data Scientist at Condé Nast","Research",5
"211","Data Scientist at Condé Nast","Python",2
"212","Data Scientist at Condé Nast","R",2
"213","Data Scientist at Condé Nast","Matlab",4
"214","Data Scientist at Condé Nast","Mathematica",1
"215","Data Scientist at Condé Nast","Linux",1
"216","Data Scientist at Condé Nast","Bash",1
"217","Data Scientist at Condé Nast","Microsoft Office",2
"218","Data Scientist at Condé Nast","Microsoft Excel",1
"219","Data Scientist at Condé Nast","Microsoft Word",1
"220","Data Scientist at Condé Nast","PowerPoint",1
"222","Data Scientist at Condé Nast","Biophysics",2
"224","Data Scientist @ Uber","Machine Learning",8
"225","Data Scientist @ Uber","Predictive Analytics",3
"226","Data Scientist @ Uber","Simulations",4
"227","Data Scientist @ Uber","Programming",12
"228","Data Scientist @ Uber","Research",9
"229","Data Scientist @ Uber","Microsoft Office",14
"230","Data Scientist @ Uber","Photoshop",5
"231","Data Scientist @ Uber","PowerPoint",6
"232","Data Scientist @ Uber","HTML",4
"233","Data Scientist @ Uber","Matlab",3
"234","Data Scientist @ Uber","Adobe Photoshop",2
"235","Data Scientist @ Uber","SQL",2
"236","Data Scientist @ Uber","R",2
"237","Data Scientist @ Uber","Teamwork",9
"238","Data Scientist @ Uber","Data Analytics",1
"239","Data Scientist @ Bloomberg || Columbia University","Data Analysis",15
"240","Data Scientist @ Bloomberg || Columbia University","Machine Learning",4
"241","Data Scientist @ Bloomberg || Columbia University","Python",5
"242","Data Scientist @ Bloomberg || Columbia University","Programming",4
"244","Data Scientist @ Bloomberg || Columbia University","Algorithms",1
"249","Data Scientist @ Bloomberg || Columbia University","Entrepreneurship",1
"250","Data Scientist @ Bloomberg || Columbia University","SQL",5
"251","Data Scientist @ Bloomberg || Columbia University","HTML",2
"253","Data Scientist @ Bloomberg || Columbia University","PHP",1
"254","Data Scientist @ Bloomberg || Columbia University","R",3
"258","Data Scientist @ Bloomberg || Columbia University","C",8
